Identification Methods,Sand Fly Species,Locality,Habitat,Blood Meal Source
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,in village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,domestic habitat,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,domestic habitat,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,domestic habitat,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,farm fields,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human + cow
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,domestic habitat,human + donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human + donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,peridomestic,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,peridomestic,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,peridomestic,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus alexandri,Adebay,periphery of village,cow
ELISA,Phlebotomus alexandri,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus bergeroti,Mykadra,periphery of village,
ELISA,Phlebotomus bergeroti,Rawyan,periphery of village,
ELISA,Phlebotomus bergeroti,Adebay,periphery of village,
ELISA,Phlebotomus bergeroti,Adebay,periphery of village,
ELISA,Sergentomyia africana,Adebay,farm fields,donkey
ELISA,Sergentomyia africana,Adebay,farm fields,
ELISA,Sergentomyia africana,Adebay,periphery of village,
ELISA,Sergentomyia africana,Adebay,periphery of village,
ELISA,Sergentomyia africana,Adebay,periphery of village,
ELISA,Sergentomyia bedfordi,Mykadra,in village,cow
ELISA,Sergentomyia bedfordi,Adebay,farm fields,
ELISA,Sergentomyia bedfordi,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,cow
ELISA,Sergentomyia clydei,Adebay,farm fields,cow
ELISA,Sergentomyia clydei,Adebay,in village,cow
ELISA,Sergentomyia clydei,Adebay,in village,cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,cow
ELISA,Sergentomyia clydei,Adebay,farm fields,cow
ELISA,Sergentomyia clydei,Adebay,farm fields,cow + dog
ELISA,Sergentomyia clydei,Adebay,farm fields,cow + dog
ELISA,Sergentomyia clydei,Adebay,periphery of village,cow + donkey
ELISA,Sergentomyia clydei,Adebay,periphery of village,cow + human + dog + donkey
ELISA,Sergentomyia clydei,Adebay,periphery of village,dog
ELISA,Sergentomyia clydei,Adebay,periphery of village,dog
ELISA,Sergentomyia clydei,Adebay,periphery of village,dog + donkey
ELISA,Sergentomyia clydei,Adebay,periphery of village,donkey
ELISA,Sergentomyia clydei,Adebay,in village,donkey
ELISA,Sergentomyia clydei,Adebay,farm fields,human
ELISA,Sergentomyia clydei,Adebay,in village,human + cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,human + cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,human + cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,human + cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,human + cow
ELISA,Sergentomyia clydei,Adebay,periphery of village,human + cow + dog
ELISA,Sergentomyia clydei,Adebay,farm fields,goat/sheep
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Mykadra,in village,
ELISA,Sergentomyia clydei,Mykadra,in village,
ELISA,Sergentomyia clydei,Adebay,periphery of village,
ELISA,Sergentomyia clydei,Adebay,periphery of village,
ELISA,Sergentomyia clydei,Adebay,peridomestic,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Adebay,in village,
ELISA,Sergentomyia clydei,Adebay,in village,
ELISA,Sergentomyia clydei,Adebay,farm fields,
ELISA,Sergentomyia clydei,Mykadra,in village,
ELISA,Sergentomyia clydei,Mykadra,in village,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,cow
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,cow
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,cow
ELISA,Sergentomyia schwetzi,Adebay,farm fields,cow
ELISA,Sergentomyia schwetzi,Adebay,in village,dog
ELISA,Sergentomyia schwetzi,Mykadra,in village,human + donkey
ELISA,Sergentomyia schwetzi,Adebay,farm fields,human
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,human + cow
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,human + cow
ELISA,Sergentomyia schwetzi,Adebay,farm fields,human
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,in village,
ELISA,Sergentomyia schwetzi,Adebay,in village,
ELISA,Sergentomyia schwetzi,Mykadra,in village,
ELISA,Sergentomyia schwetzi,Mykadra,in village,
ELISA,Sergentomyia schwetzi,Mykadra,periphery of village,
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,
ELISA,Sergentomyia schwetzi,Adebay,periphery of village,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,peridomestic,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,in village,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Adebay,farm fields,
ELISA,Sergentomyia schwetzi,Mykadra,in village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,cow
ELISA,Phlebotomus papatasi,Adebay,periphery of village,cow
ELISA,Phlebotomus papatasi,Adebay,domestic habitat,cow + donkey
ELISA,Phlebotomus papatasi,Adebay,farm fields,dog
ELISA,Phlebotomus papatasi,Adebay,periphery of village,dog
ELISA,Phlebotomus papatasi,Adebay,periphery of village,donkey
ELISA,Phlebotomus papatasi,Adebay,peridomestic,donkey
ELISA,Phlebotomus papatasi,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus papatasi,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus papatasi,Adebay,domestic habitat,human
ELISA,Phlebotomus papatasi,Adebay,farm fields,
ELISA,Phlebotomus papatasi,Rawyan,in village,
ELISA,Phlebotomus papatasi,Adebay,in village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
ELISA,Phlebotomus papatasi,Adebay,domestic habitat,
ELISA,Phlebotomus papatasi,Adebay,domestic habitat,
ELISA,Phlebotomus papatasi,Adebay,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,periphery of village,cow
PCR,Sergentomyia clydei ,Mykadra,farm fields,
PCR,Sergentomyia clydei ,Mykadra,farm fields,
PCR,Sergentomyia schwetzi ,Mykadra,in village,
PCR,Phlebotomus duboscqi ,Mykadra,in village,human
PCR,Sergentomyia clydei ,Mykadra,in village,human
PCR,Sergentomyia clydei ,Mykadra,in village,human + cow
PCR,Sergentomyia clydei ,Mykadra,in village,human + cow
PCR,Sergentomyia clydei ,Mykadra,in village,human + cow
PCR,Sergentomyia clydei ,Mykadra,in village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,goat
PCR,Phlebotomus papatasi ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,sheep
PCR,Phlebotomus orientalis,Adebay,periphery of village,sheep
PCR,Phlebotomus orientalis,Adebay,periphery of village,human + cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,human + cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,human + cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Sergentomyia clydei ,Mykadra,in village,
PCR,Sergentomyia africana ,Mykadra,farm fields,
PCR,Sergentomyia clydei ,Mykadra,farm fields,
PCR,Phlebotomus papatasi ,Mykadra,in village,human + cow
PCR,Sergentomyia schwetzi ,Mykadra,in village,
PCR,Sergentomyia schwetzi ,Mykadra,in village,
PCR,Phlebotomus orientalis,Mykadra,farm fields,
PCR,Phlebotomus orientalis,Mykadra,farm fields,
PCR,Phlebotomus orientalis,Mykadra,farm fields,
PCR,Phlebotomus orientalis,Mykadra,farm fields,
PCR,Phlebotomus orientalis,Adebay,periphery of village,goat
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus bergeroti ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus bergeroti ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,human + cow
PCR,Phlebotomus orientalis,Mykadra,in village,
PCR,Phlebotomus papatasi ,Mykadra,indoors,human + cow
PCR,Phlebotomus papatasi,Mykadra,farm fields,
PCR,Phlebotomus papatasi ,Mykadra,periphery of village,
PCR,Phlebotomus papatasi ,Mykadra,periphery of village,
PCR,Phlebotomus papatasi ,Mykadra,indoors,
PCR,Phlebotomus orientalis,Mykadra,farm fields,cow
PCR,Phlebotomus orientalis,Mykadra,periphery of village,
PCR,Phlebotomus papatasi ,Mykadra,periphery of village,human + cow
PCR,Phlebotomus orientalis,Mykadra,periphery of village,human + cow
PCR,Sergentomyia schwetzi ,Adebay,periphery of village,
PCR,Sergentomyia clydei ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Sergentomyia clydei ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,human
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus lesleyae ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,farm fields,
PCR,Phlebotomus papatasi ,Adebay,in village,
PCR,Phlebotomus orientalis,Adebay,in village,
PCR,Phlebotomus orientalis,Adebay,in village,
PCR,Phlebotomus papatasi ,Adebay,in village,
PCR,Phlebotomus papatasi ,Adebay,in village,cow
PCR,Phlebotomus orientalis,Adebay,in village,
PCR,Phlebotomus orientalis,Adebay,in village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus papatasi ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,in village,cow
PCR,Phlebotomus papatasi ,Adebay,periphery of village,
PCR,Phlebotomus orientalis,Adebay,periphery of village,
PCR,Phlebotomus duboscqi ,Adebay,indoors,human
PCR,Phlebotomus papatasi ,Adebay,in village,cow
PCR,Phlebotomus papatasi ,Adebay,in village,cow
PCR,Phlebotomus bergeroti ,Rawyan,in village,human + cow
PCR,Phlebotomus orientalis,Rawyan,in village,human + cow
PCR,Phlebotomus orientalis,Rawyan,in village,human + cow
PCR,Phlebotomus orientalis,Rawyan,periphery of village,
PCR,Phlebotomus orientalis,Rawyan,periphery of village,
PCR,Phlebotomus orientalis,Rawyan,farm fields,
PCR,Phlebotomus papatasi ,Rawyan,periphery of village,human
PCR,Phlebotomus bergeroti ,Rawyan,periphery of village,cow
PCR,Phlebotomus papatasi ,Rawyan,indoors,cow
PCR,Phlebotomus orientalis,Rawyan,periphery of village,
PCR,Phlebotomus bergeroti ,Rawyan,farm fields,
PCR,Phlebotomus orientalis,Rawyan,periphery of village,
PCR,Phlebotomus bergeroti ,Rawyan,periphery of village,
PCR,Phlebotomus papatasi ,Rawyan,periphery of village,
PCR,Phlebotomus papatasi ,Rawyan,periphery of village,
PCR,Phlebotomus papatasi ,Humera town,periphery of village,
PCR,Phlebotomus orientalis,Humera town,farm fields,human
PCR,Phlebotomus papatasi ,Bereket,periphery of village,cow
PCR,Phlebotomus papatasi ,Bereket,periphery of village,cow
PCR,Phlebotomus papatasi ,Bereket,in village,cow + camel
PCR,Phlebotomus bergeroti ,Bereket,periphery of village,camel
PCR,Phlebotomus papatasi ,Bereket,in village,camel
PCR,Phlebotomus papatasi ,Bereket,in village,
PCR,Phlebotomus papatasi ,Bereket,periphery of village,cow
PCR,Phlebotomus papatasi ,Bereket,in village,
PCR,Phlebotomus papatasi ,Bereket,in village,human
PCR,Phlebotomus papatasi ,Bereket,in village,cow + chicken
PCR,Phlebotomus orientalis,Adebay,periphery of village,mouse + chicken
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow + mouse
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow + mouse
PCR,Phlebotomus orientalis,Adebay,periphery of village,cow + camel
